prof_id,rec_id,x,y,cds2d,z,cds3d,dirslop
1,258,454539.2072236184,975405.1372546796,232030.27813996913,363.93729502336157,232149.90355892145,-0.2972596049967596
1,259,455069.6526307544,976205.0646548315,232990.0990479856,358.9575470142366,233109.7373848287,-0.07048920023580012
1,260,455117.1087349124,977124.5136793983,233910.77194896547,357.82487145309597,234030.41098255626,1.0051873993042426
1,261,454892.40906909754,977987.9047064899,234802.9232844907,373.4782285598593,234922.69963151927,-1.066294229057939
1,262,454724.257612134,978933.9941595098,235763.83960009497,355.59317947540393,235883.78237539475,-1.4378518532112243
1,263,454000.1688823763,979588.507725316,236739.89927879628,331.0935755380669,236860.14948206086,2.6907624230517935
1,264,453156.3047721558,979720.1064375925,237593.96301037082,371.2321961232985,237715.15589516753,-0.08154912557221036
1,265,452694.47456000873,980471.1081373368,238475.60392246066,369.9773551104006,238596.79770026557,-2.339962294261119
1,266,452505.4345848217,981382.3676831148,239406.2650165171,331.9479672972101,239528.23546325768,2.0295920012227087
1,267,451894.72764231596,981894.0906870783,240203.02307415448,360.1833889452651,240325.4936657528,-1.2958960689427825
1,268,452058.936433566,982829.1951879275,241152.43602679,338.70623367379585,241275.14951016734,-1.68606350872908
1,269,451837.4313171703,983756.5085924404,242105.83765610412,310.6420396811833,242228.9640968472,1.2354885169330923
1,270,451192.2492967422,984507.510296242,243095.92017720858,331.99483780603725,243219.27684572217,1.6294500475505669
1,271,450608.06426383846,985303.4197626393,244083.2114368527,360.0802510161435,244206.96749658653,-1.4587013411730252
1,272,449982.08426285913,986070.8653424293,245073.5768641396,334.86094874063554,245197.6539721036,-0.38655667250549874
1,273,449072.28887417115,986380.0395396849,246034.47037204076,328.3780029458351,246158.56934928973,-0.9720321802137837
1,274,448223.1670554413,986740.0693376864,246956.76605049323,312.729606048469,247080.99776972004,-0.7534642958205209
1,275,447274.13479381456,986639.4111627238,247911.12148836488,300.17869553433155,248035.43573373335,-0.009504101473015522
1,276,446804.78817789967,987330.9732993714,248746.91119559715,300.0400565223834,248871.2254524642,1.7240066382341834
1,277,446420.0521473288,988213.030876998,249709.22475336707,329.0044208230637,249833.97480606937,-2.635400879142434
1,278,445621.48865807784,988390.0592255675,250527.17504682133,291.35507863014766,250652.79111973775,-4.028512555149601
1,279,445160.34835365415,988947.1823514926,251250.38771112176,240.42145214931702,251377.79511428607,-0.2798339926461754
1,280,444660.4024711995,989679.7672897042,252137.307423992,236.08968007193846,252264.72540541788,-0.3591451767977904
1,281,443746.52001643856,990021.80006701,253113.09816071347,229.97308423229975,253240.53531242645,1.5848077433854189
1,282,443160.28580724075,990403.0302901781,253812.38853751743,249.3204695304913,253940.09328172455,4.586958508272121
1,283,443406.65206904686,991165.5884159184,254613.7568860868,313.6134534578167,254744.0365744207,2.887764007785712
1,284,443763.0307851606,992048.9160876905,255566.26597529132,361.6615462672774,255697.75675573165,-1.4925392309147802
1,285,442934.1626909539,992539.0391806572,256529.20053373917,336.5716915049252,256661.01812455384,-1.426356529308662
1,286,442685.5626224685,993433.5724257402,257457.63562603673,313.45387889188044,257589.74098626748,0.17228504377616635
1,287,442638.90943872667,994393.509971327,258418.70618066867,316.3437703118287,258550.81588576958,-0.5639818284101764
1,288,441904.5541325029,994524.8464245244,259164.71353969237,309.00032918990524,259296.85938707832,-1.1313470502544354
1,289,441276.2139112813,995026.2955116964,259968.6181488534,293.1245816806812,260100.92074045213,-2.59835954601532
1,290,440323.16912080126,994955.5819416501,260924.2827247637,249.75552555362037,261057.56887674844,-1.014364660021528
1,291,439593.50821490196,995583.2893187162,261886.79069294938,232.7135009281428,262020.22770490317,-1.4525677642788444
1,292,439632.0347010364,996549.2447619397,262853.5141324227,208.19978908176407,262987.2618979365,0.8759776065519015
1,293,439699.87964153633,997540.3526743455,263846.94144732034,223.38917821780996,263980.8053280527,0.6951560536952017
1,294,439842.8248053904,998508.3082606994,264825.3949909406,235.2611046808521,264959.3308921853,-0.7856228563233056
1,295,440071.5099397161,999475.2305481473,265818.99229398905,221.63633717540705,265953.0216060972,-0.2462314799751244
1,296,440052.10784048965,1000447.5943332263,266791.54963008163,217.45669761816745,266925.58792330866,-1.0975087757856945
1,297,439492.3658523032,1001194.6523257652,267725.0413212901,199.57334468723522,267859.2508988342,-1.7844736182040668
1,298,439017.5164830226,1002000.1363630481,268660.0741858589,170.44238248192312,268794.73744111194,-1.1967658002048953
1,299,438965.1867895136,1002932.2834324499,269593.6889649927,150.93866393814292,269728.55591964733,0.4011014248784148
1,300,439536.96989133296,1003749.3455320469,270590.94840471935,157.92013308217517,270725.83979650255,0.5722789597407664
1,301,439803.50260224927,1004703.0954013731,271581.2405329463,167.81165040842814,271716.18132412987,0.641719978019861
1,302,439770.96792628046,1005567.5432036392,272446.3003620813,177.50083506777102,272581.295413879,-1.3500110753808683
1,303,439466.5156009049,1006505.7753585746,273432.69318189565,154.25500913603864,273567.9621070457,-0.4470006710680914
1,304,439194.4916328833,1007444.8984811949,274410.4197687379,146.62698991117378,274545.7184495439,-2.0340552885510306
1,305,438841.32334541675,1008158.1774988751,275206.34363214124,118.35905058749401,275342.14413517225,0.3777653971458895
1,306,439295.91229742905,1009026.9204831688,276186.8361043465,124.82377623672869,276322.6579192309,-0.2423254734160408
1,307,439594.0300819408,1009971.5820344068,277177.4216179846,120.63419129914246,277313.25229255005,-0.5854540929741506
1,308,439749.96694406966,1010926.1017524396,278144.5949204925,110.75117232264155,278280.476088343,-1.0923007052901847
1,309,440182.2304613383,1011760.843433258,279084.6190808506,92.82815121919475,279220.671098297,-1.318092700980969
1,310,440383.27048289176,1012670.92099478,280016.63745956,71.38323159501488,280152.9361586901,-0.9692088326109011
1,311,440767.0130855739,1013575.2130171995,280998.9828402306,54.764404667883404,281135.4221037973,1.4326664118781696
1,312,441116.684398903,1014410.4465918366,281904.4579373847,77.41029933730265,282041.18034312595,-1.662970788628008
